,Genome,Generation,Fitness
72,72,1,0.108229065210196
73,73,1,-12.9918769788726
74,74,1,-12.9918769788726
75,75,1,-1.5343510987461697
76,76,1,-5.20815812450687
77,77,1,50.038411012271396
78,78,1,3.24167880545561
79,79,1,45.2587947108706
80,80,1,-1.03464432019652
81,81,1,-4.14372446215345
82,82,1,-0.294841706965122
83,83,1,1.4267187693366599
84,84,1,0.0
0,0,2,122.593423609902
1,1,2,120.190962243894
2,2,2,104.96218268812099
3,3,2,86.29883584518541
4,4,2,67.7768462635314
5,5,2,52.9070281257739
6,6,2,46.0835612364831
7,7,2,56.4079778071817
8,8,2,2.04061696834912
9,9,2,1.2025909453694799
10,10,2,0.45576510599164294
11,11,2,0.260890961341289
12,12,2,0.000247082957845029
13,13,2,8.236098594834291e-05
14,14,2,5.04366744584733
15,15,2,1.4812385595869
16,16,2,11.2939117336409
17,17,2,11.105715207024698
18,18,2,-0.8141693135454491
19,19,2,-2.46881333010597
20,20,2,8.98900057897948
21,21,2,13.279001148494197
22,22,2,0.11706619291768999
23,23,2,-6.96224181541776
24,24,2,2.9486549450672
25,25,2,3.33168719382886
26,26,2,0.000164794922284273
27,27,2,8.236098594834291e-05
28,28,2,8.23974611421363e-05
29,29,2,8.23974611421363e-05
30,30,2,8.23974611421363e-05
31,31,2,8.23974611421363e-05
32,32,2,17.7796327233042
33,33,2,21.0098011987105
34,34,2,-0.9154151939238492
35,35,2,-1.58534602827317
36,36,2,-0.5136451733947921
37,37,2,4.11804929741715e-05
38,38,2,115.57764234555401
39,39,2,115.77743413943199
40,40,2,0.240827179553179
41,41,2,8.236098594834291e-05
42,42,2,8.23974611421363e-05
43,43,2,8.236098594834291e-05
44,44,2,145.68024681632602
45,45,2,147.532179094329
46,46,2,16.900695265603698
47,47,2,13.480300538492902
48,48,2,-12.5481857611442
49,49,2,103.317164670935
50,50,2,-0.19822769214269395
51,51,2,5.874754432252179
52,52,2,5.874754432252179
53,53,2,15.752619614837698
54,54,2,5.54160182808015
55,55,2,-3.4154983605332596
56,56,2,-7.1887198156326795
57,57,2,0.9807134401798939
58,58,2,-0.47231966416726
59,59,2,53.532441339544
60,60,2,-3.40947714505707
61,61,2,-8.30756162792648
62,62,2,-17.4791852202503
63,63,2,2.93722229733373
64,64,2,1.1797462492678201
65,65,2,35.464219474892396
66,66,2,-5.85573777054333
67,67,2,-2.33028055592944
68,68,2,5.1871342451497
69,69,2,-18.4006070931218
70,70,2,-6.14005991276371
71,71,2,-11.349829268942802
72,72,2,-11.349829268942802
73,73,2,-10.7844848376836
74,74,2,-9.52509716359227
75,75,2,4.1754939740627
76,76,2,-9.031559344366938
77,77,2,-6.778309143548619
78,78,2,-0.000525160710388157
79,79,2,0.176797702907119
80,80,2,-2.6589660710567404
81,81,2,-10.5922413849306
82,82,2,-10.5922413849306
83,83,2,0.9229133628877829
84,84,2,0.0
0,0,3,144.356683820422
1,1,3,146.46023234938102
2,2,3,124.829467122092
3,3,3,120.200014957687
4,4,3,117.59029060843099
5,5,3,116.180529887906
6,6,3,103.334781120207
7,7,3,3.02674713886466
8,8,3,3.77536582513258
9,9,3,0.41625137432478704
10,10,3,3.9839790443181498
11,11,3,2.9297244019079702
12,12,3,-0.000288391113997477
13,13,3,-0.00035003419028045696
14,14,3,90.9037922356039
15,15,3,90.28715491622
16,16,3,115.276924811705
17,17,3,115.267206426406
18,18,3,-14.4885017754845
19,19,3,-16.270653366367398
20,20,3,103.579366034832
21,21,3,104.30872051949301
22,22,3,153.954947674108
23,23,3,129.522863628756
24,24,3,129.522863628756
25,25,3,121.337501458516
26,26,3,121.337501458516
27,27,3,50.603708198282604
28,28,3,-2.47521973270977
29,29,3,-2.3302825985607596
30,30,3,114.311970273793
31,31,3,116.954475190737
32,32,3,11.2343113282646
33,33,3,18.271941229716898
34,34,3,-1.00053177128368
35,35,3,-0.474316918076507
36,36,3,-1.9912788440567197
37,37,3,-1.98691177861619
38,38,3,110.84546720631
39,39,3,57.470747662184294
40,40,3,0.359361571939107
41,41,3,8.23974611421363e-05
42,42,3,8.23974611421363e-05
43,43,3,8.23974611421363e-05
44,44,3,4.803116034448741
